Titolo,ID,Durata,Spotify URL,URI,Album
DANTE - il profeta,3PUGrLhkkKPyZ3nJsOqUyd,1.7,"<a href=""https://open.spotify.com/track/3PUGrLhkkKPyZ3nJsOqUyd"" target=""_blank"">https://open.spotify.com/track/3PUGrLhkkKPyZ3nJsOqUyd</a>",3PUGrLhkkKPyZ3nJsOqUyd,Effetto notte (L'alba)
RAY LIOTTA - goodfellas,2ghK72VHQzKy3olZWsrwQ7,3.07,"<a href=""https://open.spotify.com/track/2ghK72VHQzKy3olZWsrwQ7"" target=""_blank"">https://open.spotify.com/track/2ghK72VHQzKy3olZWsrwQ7</a>",2ghK72VHQzKy3olZWsrwQ7,Effetto notte (L'alba)
HUMBLE - sicario,5TErXNNFfMHNGlRqojsSZ4,2.72,"<a href=""https://open.spotify.com/track/5TErXNNFfMHNGlRqojsSZ4"" target=""_blank"">https://open.spotify.com/track/5TErXNNFfMHNGlRqojsSZ4</a>",5TErXNNFfMHNGlRqojsSZ4,Effetto notte (L'alba)
JOE PESCI & DE NIRO - casinò,0KH2L2BYgLYo6rU0K7olHf,2.62,"<a href=""https://open.spotify.com/track/0KH2L2BYgLYo6rU0K7olHf"" target=""_blank"">https://open.spotify.com/track/0KH2L2BYgLYo6rU0K7olHf</a>",0KH2L2BYgLYo6rU0K7olHf,Effetto notte (L'alba)
NOI SIAMO LEGGENDA - chronicle,0Mxc73SQ18HsxBchzQNxXB,2.64,"<a href=""https://open.spotify.com/track/0Mxc73SQ18HsxBchzQNxXB"" target=""_blank"">https://open.spotify.com/track/0Mxc73SQ18HsxBchzQNxXB</a>",0Mxc73SQ18HsxBchzQNxXB,Effetto notte (L'alba)
PACINO - the godfather,3heACWPkfMIHbSlKm1qm92,2.04,"<a href=""https://open.spotify.com/track/3heACWPkfMIHbSlKm1qm92"" target=""_blank"">https://open.spotify.com/track/3heACWPkfMIHbSlKm1qm92</a>",3heACWPkfMIHbSlKm1qm92,Effetto notte (L'alba)
ON FIRE - paid in full,0a1LviwPaUF5qeRwTMoK6F,2.93,"<a href=""https://open.spotify.com/track/0a1LviwPaUF5qeRwTMoK6F"" target=""_blank"">https://open.spotify.com/track/0a1LviwPaUF5qeRwTMoK6F</a>",0a1LviwPaUF5qeRwTMoK6F,Effetto notte (L'alba)
COL CUORE IN GOLA - lords of dogtown,0uT4tGDxgQAEvwdHfhScTy,3.14,"<a href=""https://open.spotify.com/track/0uT4tGDxgQAEvwdHfhScTy"" target=""_blank"">https://open.spotify.com/track/0uT4tGDxgQAEvwdHfhScTy</a>",0uT4tGDxgQAEvwdHfhScTy,Effetto notte (L'alba)
VISCERALE - closer,6Xb1R7J9T0A3GS6QHcCryW,3.07,"<a href=""https://open.spotify.com/track/6Xb1R7J9T0A3GS6QHcCryW"" target=""_blank"">https://open.spotify.com/track/6Xb1R7J9T0A3GS6QHcCryW</a>",6Xb1R7J9T0A3GS6QHcCryW,Effetto notte (L'alba)
MASERATI - the wolf of wall street,3KN5SGCLAgoChv6EUqMSew,2.27,"<a href=""https://open.spotify.com/track/3KN5SGCLAgoChv6EUqMSew"" target=""_blank"">https://open.spotify.com/track/3KN5SGCLAgoChv6EUqMSew</a>",3KN5SGCLAgoChv6EUqMSew,Effetto notte (L'alba)
