Name,ID,Genre,Popularity,Followers,Spotify URL,Nationality
Rammstein,6wWVKhxIU2cEi0K81v7HvP,german metal,80,10202981,"<a href=""https://open.spotify.com/artist/6wWVKhxIU2cEi0K81v7HvP"" target=""_blank"">https://open.spotify.com/artist/6wWVKhxIU2cEi0K81v7HvP</a>",German
Kraftwerk,0dmPX6ovclgOy8WWJaFEUU,dusseldorf electronic,52,806005,"<a href=""https://open.spotify.com/artist/0dmPX6ovclgOy8WWJaFEUU"" target=""_blank"">https://open.spotify.com/artist/0dmPX6ovclgOy8WWJaFEUU</a>",German
Scorpions,27T030eWyCQRmDyuvr1kxY,album rock,73,7344125,"<a href=""https://open.spotify.com/artist/27T030eWyCQRmDyuvr1kxY"" target=""_blank"">https://open.spotify.com/artist/27T030eWyCQRmDyuvr1kxY</a>",German
Nena,561qBVd91ZPE9yCURXt7BB,portuguese pop,42,50269,"<a href=""https://open.spotify.com/artist/561qBVd91ZPE9yCURXt7BB"" target=""_blank"">https://open.spotify.com/artist/561qBVd91ZPE9yCURXt7BB</a>",German
Falco,6sAF06LH8SXXo4AWnA9r02,,2,58,"<a href=""https://open.spotify.com/artist/6sAF06LH8SXXo4AWnA9r02"" target=""_blank"">https://open.spotify.com/artist/6sAF06LH8SXXo4AWnA9r02</a>",German
Modern Talking,79bxUQsBIXO8nVLB9fYKf7,europop,72,1792806,"<a href=""https://open.spotify.com/artist/79bxUQsBIXO8nVLB9fYKf7"" target=""_blank"">https://open.spotify.com/artist/79bxUQsBIXO8nVLB9fYKf7</a>",German
Tokio Hotel,46aNfN89JrOQTCy97GoCHa,german pop rock,63,1069681,"<a href=""https://open.spotify.com/artist/46aNfN89JrOQTCy97GoCHa"" target=""_blank"">https://open.spotify.com/artist/46aNfN89JrOQTCy97GoCHa</a>",German
David Garrett,33k6kPYIS5TgseAc70LZjy,bow pop,52,495097,"<a href=""https://open.spotify.com/artist/33k6kPYIS5TgseAc70LZjy"" target=""_blank"">https://open.spotify.com/artist/33k6kPYIS5TgseAc70LZjy</a>",German
Die Toten Hosen,2F8GvYuY0lfZNYu45dY6gJ,german alternative rock,62,1493480,"<a href=""https://open.spotify.com/artist/2F8GvYuY0lfZNYu45dY6gJ"" target=""_blank"">https://open.spotify.com/artist/2F8GvYuY0lfZNYu45dY6gJ</a>",German
Lene Marlin,5TrH0BhpRgs2gkOb992bGC,norwegian pop,46,74811,"<a href=""https://open.spotify.com/artist/5TrH0BhpRgs2gkOb992bGC"" target=""_blank"">https://open.spotify.com/artist/5TrH0BhpRgs2gkOb992bGC</a>",German
